"","end_location_lat","end_location_long","start_location_lat","start_location_long","total_rides","start_dist_from_bus","end_dist_from_bus","start_lat_bin","start_long_bin","start_grid_cell"
"116",30.19,-97.78,30.26,-97.72,10,971.373121653458,809.106599196678,3,2,"3-2"
"117",30.19,-97.78,30.27,-97.75,20,277.629227185794,809.106599196678,3,1,"3-1"
"118",30.19,-97.78,30.27,-97.74,44,670.185417296239,809.106599196678,3,2,"3-2"
"119",30.19,-97.77,30.14,-97.79,10,6836.64325007409,499.55325173355,2,1,"2-1"
"120",30.19,-97.77,30.16,-97.79,39,1631.18904507838,499.55325173355,2,1,"2-1"
"121",30.19,-97.77,30.16,-97.75,12,2234.96742890183,499.55325173355,2,1,"2-1"
"122",30.19,-97.77,30.16,-97.74,10,1372.74118027867,499.55325173355,2,2,"2-2"
"123",30.19,-97.77,30.17,-97.79,19,1457.06223270922,499.55325173355,2,1,"2-1"
"124",30.19,-97.77,30.19,-97.77,27,499.55325173355,499.55325173355,2,1,"2-1"
"125",30.19,-97.77,30.2,-97.77,39,1032.03853426798,499.55325173355,2,1,"2-1"
"126",30.19,-97.77,30.2,-97.76,11,1362.21905028859,499.55325173355,2,1,"2-1"
"127",30.19,-97.77,30.2,-97.67,16,3878.94046085171,499.55325173355,2,3,"2-3"
"128",30.19,-97.77,30.21,-97.78,19,482.131255053648,499.55325173355,2,1,"2-1"
"129",30.19,-97.77,30.21,-97.76,10,2949.87314894138,499.55325173355,2,1,"2-1"
"130",30.19,-97.77,30.21,-97.75,10,632.941578237148,499.55325173355,2,1,"2-1"
"131",30.19,-97.77,30.22,-97.75,12,1472.79105153058,499.55325173355,2,1,"2-1"
"132",30.19,-97.77,30.23,-97.79,16,446.979628950269,499.55325173355,2,1,"2-1"
"133",30.19,-97.77,30.23,-97.76,15,160.342237960925,499.55325173355,2,1,"2-1"
"134",30.19,-97.77,30.23,-97.72,26,529.768493036874,499.55325173355,2,2,"2-2"
"135",30.19,-97.77,30.24,-97.79,41,605.118142240434,499.55325173355,3,1,"3-1"
"136",30.19,-97.77,30.24,-97.71,12,1975.87637664845,499.55325173355,3,2,"3-2"
"137",30.19,-97.77,30.25,-97.75,13,605.199680404157,499.55325173355,3,1,"3-1"
"138",30.19,-97.77,30.26,-97.76,15,460.45099339508,499.55325173355,3,1,"3-1"
"139",30.19,-97.77,30.26,-97.75,22,309.441545205615,499.55325173355,3,1,"3-1"
"140",30.19,-97.77,30.26,-97.74,17,784.850728204676,499.55325173355,3,2,"3-2"
"141",30.19,-97.77,30.27,-97.75,28,277.629227185794,499.55325173355,3,1,"3-1"
"142",30.19,-97.77,30.27,-97.74,56,670.185417296239,499.55325173355,3,2,"3-2"
