veh_lat_rnd,veh_long_rnd,rides_on,rides_off,raw_on,raw_off
30.32,-97.62,3,95,3,95
30.33,-97.76,1277,1317,1277,1317
30.33,-97.75,1481,1348,1481,1348
30.33,-97.74,66868,65679,66868,65679
30.33,-97.73,43844,43318,43844,43318
30.33,-97.72,42109,45320,42109,45320
30.33,-97.71,145666,143239,145666,143239
30.33,-97.7,42061,44545,42061,44545
30.33,-97.69,82045,77738,82045,77738
30.33,-97.68,803,4382,803,4382
30.33,-97.67,3653,3280,3653,3280
30.33,-97.66,2932,3161,2932,3161
30.33,-97.31,0,0,0,0
30.34,-97.78,8,16,8,16
30.34,-97.76,5349,5837,5349,5837
30.34,-97.75,638,598,638,598
30.34,-97.74,3880,3341,3880,3341
30.34,-97.73,2777,2685,2777,2685
30.34,-97.72,65224,62882,65224,62882
30.34,-97.71,10016,9096,10016,9096
30.34,-97.7,5372,3307,5372,3307
30.34,-97.69,123945,120734,123945,120734
30.34,-97.68,17495,16047,17495,16047
30.34,-97.67,637,811,637,811
30.34,-97.66,1285,1349,1285,1349
30.35,-99.59,3,0,3,0
30.35,-97.78,1,1,1,1
30.35,-97.76,14288,14962,14288,14962
30.35,-97.75,33226,35517,33226,35517
30.35,-97.74,10689,14834,10689,14834
30.35,-97.73,38315,45380,38315,45380
30.35,-97.72,5225,4921,5225,4921
30.35,-97.71,329290,319741,329290,319741
30.35,-97.7,16765,18198,16765,18198
30.35,-97.69,5,5,5,5
30.35,-97.68,29835,26536,29835,26536
30.35,-97.67,0,0,0,0
30.36,-97.79,0,0,0,0
30.36,-97.77,3,3,3,3
30.36,-97.76,435,544,435,544
30.36,-97.75,58626,46905,58626,46905
30.36,-97.74,40291,36934,40291,36934
30.36,-97.73,57929,50252,57929,50252
30.36,-97.72,30974,31643,30974,31643
30.36,-97.71,1226,683,1226,683
30.36,-97.7,199687,184460,199687,184460
30.36,-97.69,55398,57353,55398,57353
30.36,-97.68,15920,12575,15920,12575
30.37,-97.8,0,0,0,0
30.37,-97.76,4766,3500,4766,3500
30.37,-97.75,1901,3833,1901,3833
30.37,-97.74,2930,2640,2930,2640
30.37,-97.73,16516,18296,16516,18296
30.37,-97.72,216784,217357,216784,217357
30.37,-97.71,26902,32972,26902,32972
30.37,-97.7,22687,21370,22687,21370
30.37,-97.69,30581,26615,30581,26615
30.37,-97.68,2,2,2,2
30.37,-97.67,1699,1543,1699,1543
30.37,-97.66,0,3,0,3
30.38,-97.74,11,16,11,16
30.38,-97.73,10131,8837,10131,8837
30.38,-97.72,119109,121975,119109,121975
30.38,-97.71,10017,8710,10017,8710
30.38,-97.69,30209,33635,30209,33635
30.38,-97.68,5897,2856,5897,2856
30.38,-97.67,3550,3331,3550,3331
30.38,-97.66,5276,3855,5276,3855
30.39,-98.09,2,3,2,3
30.39,-97.84,55,53,55,53
30.39,-97.83,1,1,1,1
30.39,-97.77,0,0,0,0
30.39,-97.76,56,58,56,58
30.39,-97.75,11043,13858,11043,13858
30.39,-97.74,35120,32398,35120,32398
30.39,-97.73,24736,26757,24736,26757
30.39,-97.72,55595,54617,55595,54617
30.39,-97.71,20131,19531,20131,19531
30.39,-97.7,1764,1812,1764,1812
30.39,-97.69,1113,704,1113,704
30.39,-97.68,2380,2619,2380,2619
30.39,-97.67,1,6,1,6
30.39,-97.66,2742,2488,2742,2488
30.4,-97.84,1,0,1,0
30.4,-97.75,27860,27729,27860,27729
30.4,-97.74,1948,4200,1948,4200
30.4,-97.73,2276,2381,2276,2381
30.4,-97.72,45355,47748,45355,47748
30.4,-97.71,6367,6300,6367,6300
30.4,-97.7,22362,19208,22362,19208
30.4,-97.68,1195,1980,1195,1980
30.4,-97.67,3100,2857,3100,2857
30.4,-97.66,3114,2452,3114,2452
30.4,-97.61,5,11,5,11
30.41,-97.85,182,226,182,226
30.41,-97.75,7565,5237,7565,5237
30.41,-97.74,613,1440,613,1440
30.41,-97.72,995,926,995,926
30.41,-97.71,3592,4850,3592,4850
30.41,-97.7,13787,12588,13787,12588
30.41,-97.69,6132,6781,6132,6781
30.41,-97.68,9289,8108,9289,8108
30.41,-97.67,152,696,152,696
30.41,-97.66,855,1694,855,1694
30.41,-97.65,0,0,0,0
30.42,-97.85,0,1,0,1
30.42,-97.76,0,2,0,2
30.42,-97.75,4584,4716,4584,4716
30.42,-97.72,330,293,330,293
30.42,-97.71,192,83,192,83
30.42,-97.7,10367,10131,10367,10131
30.42,-97.69,3469,2582,3469,2582
30.42,-97.68,5004,5558,5004,5558
30.42,-97.67,147592,146673,147592,146673
30.42,-97.66,646,950,646,950
30.43,-97.84,0,1,0,1
30.43,-97.77,6086,7408,6086,7408
30.43,-97.76,39534,35435,39534,35435
30.43,-97.75,764,2405,764,2405
30.43,-97.7,0,0,0,0
30.43,-97.69,0,0,0,0
30.43,-97.68,8632,7778,8632,7778
30.43,-97.67,2,16,2,16
30.43,-97.66,1,3,1,3
30.43,-97.65,823,1014,823,1014
30.44,-97.79,1,1,1,1
30.44,-97.78,1593,4016,1593,4016
30.44,-97.77,6179,2099,6179,2099
30.44,-97.71,0,0,0,0
30.44,-97.7,48392,45966,48392,45966
30.44,-97.69,4489,4979,4489,4979
30.44,-97.68,4292,4285,4292,4285
30.44,-97.67,2323,3713,2323,3713
30.44,-97.66,3514,2737,3514,2737
30.44,-97.65,0,0,0,0
30.45,-97.81,177,184,177,184
30.45,-97.8,1998,2124,1998,2124
30.45,-97.79,6475,6529,6475,6529
30.45,-97.78,8,58,8,58
30.45,-97.69,452,226,452,226
30.45,-97.67,3,3,3,3
30.46,-100.29,0,1,0,1
30.46,-97.82,0,0,0,0
30.46,-97.8,8077,7137,8077,7137
30.46,-97.79,6805,6119,6805,6119
30.46,-97.69,3,3,3,3
30.46,-97.67,5,4,5,4
30.47,-97.8,8020,8914,8020,8914
30.47,-97.79,4901,4099,4901,4099
30.47,-97.75,1,0,1,0
30.48,-97.81,15,58,15,58
30.48,-97.8,2362,3529,2362,3529
30.48,-97.79,83541,82043,83541,82043
30.48,-97.78,0,0,0,0
30.48,-97.77,74,72,74,72
30.48,-97.76,2,2,2,2
30.48,-97.75,0,0,0,0
