STOP_ID,STOP_NAME,STOP_ABBR,STREET_NMB,ON_STREET,AT_STREET,CITY,ZIP,BAY,STOP_TYPE,PLACEMENT,CORNER,STATUS,LATITUDE,LONGITUDE,SOURCE,SOURCEDATE
"658",11th/Waller,S630,"001000",11TH,WALLER,AUSTIN,"78702",,Bus Stop,Nearside,Southwest,Active,30.26927241000,-97.72967713000,Capital Metro,2017-08-17
"659",1201 11th/Lydia,S1903,"001201",11TH,LYDIA,AUSTIN,"78702",,Bus Stop,Farside,Southeast,Active,30.26861325000,-97.72781951000,Capital Metro,2017-08-17
"660",1213 Rosewood/San Bernard,S627,"001213",ROSEWOOD,SAN BERNARD,AUSTIN,"78702",,Bus Stop,Mid-Block,Southwest,Active,30.26852996000,-97.72604945000,Capital Metro,2017-08-17
"661",1319 Rosewood/Angelina,S625,"001319",ROSEWOOD,ANGELINA,AUSTIN,"78702",,Bus Stop,Nearside,Southwest,Active,30.26878000000,-97.72446000000,Capital Metro,2017-08-17
"663",1909 Rosewood/Chicon,142NB,"001909",ROSEWOOD,CHICON,AUSTIN,"78702",,Bus Stop,Farside,Southeast,Active,30.26969617000,-97.71860068000,Capital Metro,2017-08-17
"664",Rosewood/Northwestern,S1897,"002100",ROSEWOOD,NORTHWESTERN,AUSTIN,"78702",,Bus Stop,Nearside,Southwest,Active,30.27000000000,-97.71674000000,Capital Metro,2017-08-17
"665",2365 Rosewood/Hargrave,S615,"002365",ROSEWOOD,HARGRAVE,AUSTIN,"78702",,Bus Stop,Nearside,Southwest,Active,30.27098778000,-97.71088004000,Capital Metro,2017-08-17
"666",Rosewood/Webberville,S610,"002600",ROSEWOOD,WEBBERVILLE,AUSTIN,"78702",,Bus Stop,Nearside,Southwest,Active,30.27235735000,-97.70514373000,Capital Metro,2017-08-17
"667",2807 Oak Springs/Webberville,S1898,"002807",OAK SPRINGS,WEBBERVILLE,AUSTIN,"78702",,Bus Stop,Mid-Block,Southeast,Active,30.27278742000,-97.70232089000,Capital Metro,2017-08-17
"668",3201 Oak Springs/Airport,84NB,"003201",OAK SPRINGS,AIRPORT,AUSTIN,"78702",,Bus Stop,Nearside,Southwest,Active,30.27343427000,-97.69842740000,Capital Metro,2017-08-17
"669",Oak Springs/Springdale,SPOSS,"003800",OAK SPRINGS,SPRINGDALE,AUSTIN,"78721",,Bus Stop,Mid-Block,Southeast,Active,30.27353366000,-97.69129579000,Capital Metro,2017-08-17
"670",Ledesma/Springdale,S599,"004606",LEDESMA,SPRINGDALE,AUSTIN,"78721",,Bus Stop,Farside,Southeast,Active,30.27380272000,-97.68982653000,Capital Metro,2017-08-17
